番号,おすすめ商品名,写真ファイル名,商品の種類（１：飲食店 2:和菓子 3:お土産 4:工芸品 6:その他）,お店の名前,住所,緯度,経度,紹介,定休日,営業時間,
22,ネックレス,taro5.jpg,3,茶菓子工房 たろう 鬼川店,石川県金沢市長町１丁目3-32,36.5641111,136.6500859,自然な色合いが特徴の一粒菓子「もりの音」や、生チョコのような味わいが特徴の「たろうのようかん」、また、最近新登場した「はなことたろう」というアーモンド入りカカオ羊羹等、素敵な商品が並ぶ素敵なお店。,年中無休,8:30-17:30,
23,はなことたろう (和菓子),taro6.jpg,2,茶菓子工房 たろう 鬼川店,石川県金沢市長町１丁目3-32,36.5641111,136.6500859,自然な色合いが特徴の一粒菓子「もりの音」や、生チョコのような味わいが特徴の「たろうのようかん」、また、最近新登場した「はなことたろう」というアーモンド入りカカオ羊羹等、素敵な商品が並ぶ素敵なお店。,年中無休,8:30-17:30,
24,もりの音 (和菓子),taro7.jpg,2,茶菓子工房 たろう 鬼川店,石川県金沢市長町１丁目3-32,36.5641111,136.6500859,自然な色合いが特徴の一粒菓子「もりの音」や、生チョコのような味わいが特徴の「たろうのようかん」、また、最近新登場した「はなことたろう」というアーモンド入りカカオ羊羹等、素敵な商品が並ぶ素敵なお店。,年中無休,8:30-17:30,
25,リング,taro8.jpg,3,茶菓子工房 たろう 鬼川店,石川県金沢市長町１丁目3-32,36.5641111,136.6500859,自然な色合いが特徴の一粒菓子「もりの音」や、生チョコのような味わいが特徴の「たろうのようかん」、また、最近新登場した「はなことたろう」というアーモンド入りカカオ羊羹等、素敵な商品が並ぶ素敵なお店。,年中無休,8:30-17:30,
26,お菓子の香りの線香,taku1.jpg,3,アロマ工房「焚屋」,石川県金沢市長町1-2-23,36.5633751,136.6522608,店内いろいろなかおりが漂っているアロマ工房。おすすめは「ぽち香」。観光客がおみやげで買っていく,毎週火曜日 祭日は営業,11:00～20:00,
27,ぽち香,taku2.jpg,3,アロマ工房「焚屋」,石川県金沢市長町1-2-23,36.5633751,136.6522608,店内いろいろなかおりが漂っているアロマ工房。おすすめは「ぽち香」。観光客がおみやげで買っていく,毎週火曜日 祭日は営業,11:00～20:00,
28,手毬,mari1.jpg,4,加賀てまり 毬屋,石川県金沢市南町5-7　小出南ビル1階,36.5665196,136.6541923,加賀てまりは娘が嫁ぐ際に、魔よけとして持たせるもの。手作りのてまりを扱うお店。お土産にストラップやイヤリングなどおすすめ。,火曜・水曜,午前9：30～午後6：00,
29,手毬 2,mari2.jpg,4,加賀てまり 毬屋,石川県金沢市南町5-7　小出南ビル1階,36.5665196,136.6541923,加賀てまりは娘が嫁ぐ際に、魔よけとして持たせるもの。手作りのてまりを扱うお店。お土産にストラップやイヤリングなどおすすめ。,火曜・水曜,午前9：30～午後6：00,
30,指ぬき,mari3.jpg,4,加賀てまり 毬屋,石川県金沢市南町5-7　小出南ビル1階,36.5665196,136.6541923,加賀てまりは娘が嫁ぐ際に、魔よけとして持たせるもの。手作りのてまりを扱うお店。お土産にストラップやイヤリングなどおすすめ。,火曜・水曜,午前9：30～午後6：00,
31,ことみん (白あんケーキ),koto1.jpg,2,古都美(ことみ),石川県金沢市広坂1丁目2-27,36.5615504,136.6582938,21世紀美術館のすぐ近くにあり、いつもパフェの看板が立っており、入口が奥まっていて、隠れ家のような雰囲気がすてきなカフェ＆スイーツショップ,月曜日 火曜不定休,1F ショップ 午前11:00～午後18:00、2F カフェ 午前11:00～午後18:00,
32,ことみん (白あんケーキ ４個入り),koto2.jpg,2,古都美(ことみ),石川県金沢市広坂1丁目2-27,36.5615504,136.6582938,21世紀美術館のすぐ近くにあり、いつもパフェの看板が立っており、入口が奥まっていて、隠れ家のような雰囲気がすてきなカフェ＆スイーツショップ,月曜日 火曜不定休,1F ショップ 午前11:00～午後18:00、2F カフェ 午前11:00～午後18:00,
33,ロールケーキ・タルト,koto3.jpg,1,古都美(ことみ),石川県金沢市広坂1丁目2-27,36.5615504,136.6582938,21世紀美術館のすぐ近くにあり、いつもパフェの看板が立っており、入口が奥まっていて、隠れ家のような雰囲気がすてきなカフェ＆スイーツショップ,月曜日 火曜不定休,1F ショップ 午前11:00～午後18:00、2F カフェ 午前11:00～午後18:00,
34,ダルマの小鉢,colo1.jpg,4,Gallery & Workshop Colony,石川県金沢市広坂1-2-34,36.561453,136.659019,オーナーにより厳選された希少な工芸品が取り揃えられています。,火曜日 水曜日,11:00～18:00,
35,手毬の柄のお香立て,colo2.jpg,4,Gallery & Workshop Colony,石川県金沢市広坂1-2-34,36.561453,136.659019,オーナーにより厳選された希少な工芸品が取り揃えられています。,火曜日 水曜日,11:00～18:00,
36,ちどいろのそば猪口S,colo3.jpg,4,Gallery & Workshop Colony,石川県金沢市広坂1-2-34,36.561453,136.659019,オーナーにより厳選された希少な工芸品が取り揃えられています。,火曜日 水曜日,11:00～18:00,
37,九谷 四角皿,colo4.jpg,4,Gallery & Workshop Colony,石川県金沢市広坂1-2-34,36.561453,136.659019,オーナーにより厳選された希少な工芸品が取り揃えられています。,火曜日 水曜日,11:00～18:00,
38,風鈴,colo5.jpg,4,Gallery & Workshop Colony,石川県金沢市広坂1-2-34,36.561453,136.659019,オーナーにより厳選された希少な工芸品が取り揃えられています。,火曜日 水曜日,11:00～18:00,
39,匂袋,kou1.jpg,4,加賀の薫香 香屋,石川県金沢市武蔵町１０-１,36.571349,136.653394,金魚や椿など多様な柄の美しいろうそくが見れます。,火曜日／年末年始,午前9:30～午後6:00,
40,友禅あかり,kou2.jpg,4,加賀の薫香 香屋,石川県金沢市武蔵町１０-１,36.571349,136.653394,金魚や椿など多様な柄の美しいろうそくが見れます。,火曜日／年末年始,午前9:30～午後6:00,
41,麸,humu1.jpg,2,加賀麩 不室屋,石川県金沢市尾張町2丁目3番1号,36.571788,136.658449,可愛い色と形をした美味しいお麩がたくさん置かれています。,火曜日, 9:30 ～ 18:30 食事 11:30 ～ 14:00(L.O.),
42,麩餅の冷やし汁粉,humu2.jpg,1,不むろ茶屋,石川県金沢市東山1丁目25番4号,36.572391,136.668024,可愛いお麩の美味しいスイーツが食べられます。,年中無休（年始のみ休み）,10:00 ～ 17:00,
43,加賀指ぬき,craft1.jpg,4,金沢・クラフト広坂,石川県金沢市広坂１丁目２-２５,36.561567,136.658122,金沢の様々な伝統工芸を多様に取り揃えています。,毎週月曜（祝日の場合翌日）、年末年始（12/29～1/1）,10:00-18:00,
44,加賀指ぬき 2 ,craft2.jpg,4,金沢・クラフト広坂,石川県金沢市広坂１丁目２-２５,36.561567,136.658122,金沢の様々な伝統工芸を多様に取り揃えています。,毎週月曜（祝日の場合翌日）、年末年始（12/29～1/1）,10:00-18:00,
45,加賀手毬,craft3.jpg,4,金沢・クラフト広坂,石川県金沢市広坂１丁目２-２５,36.561567,136.658122,金沢の様々な伝統工芸を多様に取り揃えています。,毎週月曜（祝日の場合翌日）、年末年始（12/29～1/1）,10:00-18:00,
46,加賀手毬 2,craft4.jpg,4,金沢・クラフト広坂,石川県金沢市広坂１丁目２-２５,36.561567,136.658122,金沢の様々な伝統工芸を多様に取り揃えています。,毎週月曜（祝日の場合翌日）、年末年始（12/29～1/1）,10:00-18:00,
47,マグカップ,jyun1.jpg,3,順風堂,石川県金沢市下近江町４０-１,36.571569,136.657869,お茶碗、箸置き等の九谷焼が可愛いものからシックなものまでたくさん揃っています。,火曜日(祝日、GW、お盆は営業), 9:00～18:30 ,
48,茶碗・箸置き・マグカップ・湯飲み,jyun2.jpg,3,順風堂,石川県金沢市下近江町４０-１,36.571569,136.657869,お茶碗、箸置き等の九谷焼が可愛いものからシックなものまでたくさん揃っています。,火曜日(祝日、GW、お盆は営業), 9:00～18:30 ,
